State/Region        Code    Number    Plate Rule    Township
Mandalay            MDY     14        MDY-14        Pyigyitagon
Mandalay            MDY     15        MDY-15        Maha Aungmye
Mandalay            MDY     16        MDY-16        Aungmyethazan
Mandalay            MDY     17        MDY-17        Patheingyi
Mandalay            MDY     18        MDY-18        Amarapura
Mandalay            MDY     19        MDY-19        Mahlaing
Mandalay            MDY     20        MDY-20        Meiktila
Mandalay            MDY     21        MDY-21        Wundwin
Mandalay            MDY     22        MDY-22        Thazi
Mandalay            MDY     23        MDY-23        Ngazun
Mandalay            MDY     24        MDY-24        Taungtha
Mandalay            MDY     25        MDY-25        Natogyi
Mandalay            MDY     26        MDY-26        Myingyan
Mandalay            MDY     27        MDY-27        Pyawbwe
Mandalay            MDY     28        MDY-28        Yamethin
Mon                 MON     1         MON-1         Kyaikmaraw
Mon                 MON     2         MON-2         Chaungzon
Mon                 MON     3         MON-3         Mudon
Mon                 MON     4         MON-4         Mawlamyine
Mon                 MON     5         MON-5         Ye
Mon                 MON     6         MON-6         Thanbyuzayat
Mon                 MON     7         MON-7         Kyaikto
Mon                 MON     8         MON-8         Paung
Mon                 MON     9         MON-9         Bilin
Mon                 MON     10        MON-10        Thaton
Naypyitaw           NPW     1         NPW-1         Zabuthiri
Naypyitaw           NPW     2         NPW-2         Dekkhinathiri
Naypyitaw           NPW     3         NPW-3         Pyinmana
Naypyitaw           NPW     4         NPW-4         Lewe
Naypyitaw           NPW     5         NPW-5         Zeyathiri
Naypyitaw           NPW     6         NPW-6         Tatkon
Naypyitaw           NPW     7         NPW-7         Pobbathiri
Naypyitaw           NPW     8         NPW-8         Ottarahiri
Rakhine             RKE     1         RKE-1         Kyaukpyu
Rakhine             RKE     2         RKE-2         Manaung
Rakhine             RKE     3         RKE-3         Ramree
Rakhine             RKE     4         RKE-4         Ann
Rakhine             RKE     5         RKE-5         Sittwe
Rakhine             RKE     6         RKE-6         Pauktaw
Rakhine             RKE     7         RKE-7         Ponnagyun
Rakhine             RKE     8         RKE-8         Rathedaung
Rakhine             RKE     9         RKE-9         Buthidaung
Rakhine             RKE     10        RKE-10        Maungdaw
Rakhine             RKE     11        RKE-11        Kyauktaw
Rakhine             RKE     12        RKE-12        Minbya
Rakhine             RKE     13        RKE-13        Myebon
Rakhine             RKE     14        RKE-14        Mrauk-U
Rakhine             RKE     15        RKE-15        Gwa
Rakhine             RKE     16        RKE-16        Taungup
Rakhine             RKE     17        RKE-17        Thandwe
Sagaing             SGG     1         SGG-1         Kale
Sagaing             SGG     2         SGG-2         Kalewa
Sagaing             SGG     3         SGG-3         Mingin
Sagaing             SGG     4         SGG-4         Katha
Sagaing             SGG     5         SGG-5         Kawlin
Sagaing             SGG     6         SGG-6         Tigyaing
Sagaing             SGG     7         SGG-7         Pinlebu
Sagaing             SGG     8         SGG-8         Banmauk
Sagaing             SGG     9         SGG-9         Wuntho
Sagaing             SGG     10        SGG-10        Indaw
Sagaing             SGG     11        SGG-11        Kanbalu
Sagaing             SGG     12        SGG-12        Kyunhla
Sagaing             SGG     13        SGG-13        Taze
Sagaing             SGG     14        SGG-14        Ye-U
Sagaing             SGG     15        SGG-15        Hkamti
Sagaing             SGG     16        SGG-16        Nanyun
Sagaing             SGG     17        SGG-17        Lahe
Sagaing             SGG     18        SGG-18        Leshi
Sagaing             SGG     19        SGG-19        Homalin
Sagaing             SGG     20        SGG-20        Sagaing
Sagaing             SGG     21        SGG-21        Myinmu
Sagaing             SGG     22        SGG-22        Myaung
Sagaing             SGG     23        SGG-23        Tamu
Sagaing             SGG     24        SGG-24        Paungbyin
Sagaing             SGG     25        SGG-25        Mawlaik
Sagaing             SGG     26        SGG-26        Chaung-U
Sagaing             SGG     27        SGG-27        Budalin
Sagaing             SGG     28        SGG-28        Monywa
Sagaing             SGG     29        SGG-29        Ayadaw
Sagaing             SGG     30        SGG-30        Kani
Sagaing             SGG     31        SGG-31        Salingyi
Sagaing             SGG     32        SGG-32        Pale
Sagaing             SGG     33        SGG-33        Yinmabin
Sagaing             SGG     34        SGG-34        Khin-U
Sagaing             SGG     35        SGG-35        Depayin
Sagaing             SGG     36        SGG-36        Shwebo
Sagaing             SGG     37        SGG-37        Wetlet
Shan                SHN     1         SHN-1         Kyaukme
Shan                SHN     2         SHN-2         Namtu
Shan                SHN     3         SHN-3         Namsan
Shan                SHN     4         SHN-4         Hsipaw Area
Shan                SHN     5         SHN-5         Manton
Shan                SHN     6         SHN-6         Hsipaw
Shan                SHN     7         SHN-7         Kengtung
Shan                SHN     8         SHN-8         Mongkhet
Shan                SHN     9         SHN-9         Mongyang
Shan                SHN     10        SHN-10        Mongla
Shan                SHN     11        SHN-11        Mongping
Shan                SHN     12        SHN-12        Tachileik
Shan                SHN     13        SHN-13        Monghpyak
Shan                SHN     14        SHN-14        Mongyawng
Shan                SHN     15        SHN-15        Kalaw
Shan                SHN     16        SHN-16        Hsihseng
Shan                SHN     17        SHN-17        Nyaungshwe
Shan                SHN     18        SHN-18        Taunggyi
Shan                SHN     19        SHN-19        Pindaya
Shan                SHN     20        SHN-20        Pinlaung
Shan                SHN     21        SHN-21        Pekon
Shan                SHN     22        SHN-22        Ywangan
Shan                SHN     23        SHN-23        Yatsauk
Shan                SHN     24        SHN-24        Hopong
Shan                SHN     25        SHN-25        Kutkai
Shan                SHN     26        SHN-26        Namhkam
Shan                SHN     27        SHN-27        Muse
Shan                SHN     28        SHN-28        Mabein
Shan                SHN     29        SHN-29        Momeik
Shan                SHN     30        SHN-30        Naphan
Shan                SHN     31        SHN-31        Pangsang (Pangkham)
Shan                SHN     32        SHN-32        Mongman
Shan                SHN     33        SHN-33        Monghsat
Shan                SHN     34        SHN-34        Mongton
Shan                SHN     35        SHN-35        Kunlong
Shan                SHN     36        SHN-36        Tangyan
Shan                SHN     37        SHN-37        Mongyai
Shan                SHN     38        SHN-38        Lashio
Shan                SHN     39        SHN-39        Hseni
Shan                SHN     40        SHN-40        Mongnai
Shan                SHN     41        SHN-41        Mongpan
Shan                SHN     42        SHN-42        Mawkmai
Shan                SHN     43        SHN-43        Langkho
Shan                SHN     44        SHN-44        Konkyan
Shan                SHN     45        SHN-45        Laukkai
Shan                SHN     46        SHN-46        Kyethi
Shan                SHN     47        SHN-47        Kunhing
Shan                SHN     48        SHN-48        Nansang
Shan                SHN     49        SHN-49        Mongkaing
Shan                SHN     50        SHN-50        Mongshu
Shan                SHN     51        SHN-51        Laihka
Shan                SHN     52        SHN-52        Loilen
Shan                SHN     53        SHN-53        Panwai
Shan                SHN     54        SHN-54        Mongmaw
Shan                SHN     55        SHN-55        Hopang
Tanintharyi         TNI     1         TNI-1         Kawthaung
Tanintharyi         TNI     2         TNI-2         Bokpyin
Tanintharyi         TNI     3         TNI-3         Dawei
Tanintharyi         TNI     4         TNI-4         Yebyu
Tanintharyi         TNI     5         TNI-5         Launglon
Tanintharyi         TNI     6         TNI-6         Thayetchaung
Tanintharyi         TNI     7         TNI-7         Kyunsu
Tanintharyi         TNI     8         TNI-8         Tanintharyi
Tanintharyi         TNI     9         TNI-9         Palaw
Tanintharyi         TNI     10        TNI-10        Myeik
Yangon              YGN     1         YGN-1         Taikkyi
Yangon              YGN     2         YGN-2         Htantabin
Yangon              YGN     3         YGN-3         Mingaladon
Yangon              YGN     4         YGN-4         Hmawbi
Yangon              YGN     5         YGN-5         Shwepyitha
Yangon              YGN     6         YGN-6         Hlaingthaya
Yangon              YGN     7         YGN-7         Hlegu
Yangon              YGN     8         YGN-8         Insein
Yangon              YGN     9         YGN-9         Tamwe
Yangon              YGN     10        YGN-10        South Okkalapa
Yangon              YGN     11        YGN-11        Dagon Seikkan
Yangon              YGN     12        YGN-12        South Dagon
Yangon              YGN     13        YGN-13        North Dagon
Yangon              YGN     14        YGN-14        East Dagon
Yangon              YGN     15        YGN-15        Dawbon
Yangon              YGN     16        YGN-16        Pazundaung
Yangon              YGN     17        YGN-17        Botataung
Yangon              YGN     18        YGN-18        Mingala Taungnyunt
Yangon              YGN     19        YGN-19        North Okkalapa
Yangon              YGN     20        YGN-20        Yankin
Yangon              YGN     21        YGN-21        Thaketa
Yangon              YGN     22        YGN-22        Thingangyun
Yangon              YGN     23        YGN-23        Cocokyun
Yangon              YGN     24        YGN-24        Kawhmu
Yangon              YGN     25        YGN-25        Kyauktan
Yangon              YGN     26        YGN-26        Kungyangon
Yangon              YGN     27        YGN-27        Khayan
Yangon              YGN     28        YGN-28        Seikgyikanaungto
Yangon              YGN     29        YGN-29        Twantay
Yangon              YGN     30        YGN-30        Dala
Yangon              YGN     31        YGN-31        Thanlyin
Yangon              YGN     32        YGN-32        Thongwa
Yangon              YGN     33        YGN-33        Kamayut
Yangon              YGN     34        YGN-34        Kyauktada
Yangon              YGN     35        YGN-35        Kyimyindaing
Yangon              YGN     36        YGN-36        Sanchaung
Yangon              YGN     37        YGN-37        Seikkan
Yangon              YGN     38        YGN-38        Dagon
Yangon              YGN     39        YGN-39        Pabedan
Yangon              YGN     40        YGN-40        Bahan
Yangon              YGN     41        YGN-41        Mayangon
Yangon              YGN     42        YGN-42        Latha
Yangon              YGN     43        YGN-43        Lanmadaw
Yangon              YGN     44        YGN-44        Hlaing
Yangon              YGN     45        YGN-45        Ahlon
